date,hour,pickup_community_area,day_of_week,demand,temperature,zone_name,is_holiday,n_crashes,congestion_speed
2023-02-17,1,60,6,0,-1.1,BRIDGEPORT,0,0,20.67626436781609
2023-02-17,1,21,6,0,-1.1,AVONDALE,0,0,20.67626436781609
2023-02-17,1,66,6,0,-1.1,CHICAGO LAWN,0,0,20.67626436781609
2023-02-17,2,38,6,0,-2.7999999999999994,GRAND BOULEVARD,0,0,13.06057471264368
2023-02-17,2,64,6,0,-2.7999999999999994,CLEARING,0,0,13.06057471264368
2023-02-17,2,77,6,1,-2.7999999999999994,EDGEWATER,0,0,13.06057471264368
2023-02-17,2,57,6,0,-2.7999999999999994,ARCHER HEIGHTS,0,0,13.06057471264368
2023-02-17,2,37,6,0,-2.7999999999999994,FULLER PARK,0,0,13.06057471264368
2023-02-17,2,29,6,0,-2.7999999999999994,NORTH LAWNDALE,0,0,13.06057471264368
2023-02-17,2,32,6,4,-2.7999999999999994,LOOP,0,0,13.06057471264368
2023-02-17,2,35,6,0,-2.7999999999999994,DOUGLAS,0,0,13.06057471264368
2023-02-17,2,14,6,0,-2.7999999999999994,ALBANY PARK,0,0,13.06057471264368
2023-02-17,2,13,6,0,-2.7999999999999994,NORTH PARK,0,0,13.06057471264368
2023-02-17,2,46,6,0,-2.7999999999999994,SOUTH CHICAGO,0,0,13.06057471264368
2023-02-17,2,62,6,0,-2.7999999999999994,WEST ELSDON,0,0,13.06057471264368
2023-02-17,2,7,6,1,-2.7999999999999994,LINCOLN PARK,0,0,13.06057471264368
2023-02-17,2,11,6,0,-2.7999999999999994,JEFFERSON PARK,0,0,13.06057471264368
2023-02-17,2,26,6,0,-2.7999999999999994,WEST GARFIELD PARK,0,0,13.06057471264368
2023-02-17,2,28,6,6,-2.7999999999999994,NEAR WEST SIDE,0,0,13.06057471264368
2023-02-17,2,8,6,14,-2.7999999999999994,NEAR NORTH SIDE,0,0,13.06057471264368
2023-02-17,2,67,6,0,-2.7999999999999994,WEST ENGLEWOOD,0,0,13.06057471264368
2023-02-17,2,74,6,0,-2.7999999999999994,MOUNT GREENWOOD,0,0,13.06057471264368
2023-02-17,2,5,6,1,-2.7999999999999994,NORTH CENTER,0,0,13.06057471264368
2023-02-17,2,31,6,0,-2.7999999999999994,LOWER WEST SIDE,0,0,13.06057471264368
2023-02-17,2,65,6,0,-2.7999999999999994,WEST LAWN,0,0,13.06057471264368
2023-02-17,2,71,6,0,-2.7999999999999994,AUBURN GRESHAM,0,0,13.06057471264368
2023-02-17,2,44,6,1,-2.7999999999999994,CHATHAM,0,0,13.06057471264368
2023-02-17,2,68,6,0,-2.7999999999999994,ENGLEWOOD,0,0,13.06057471264368
2023-02-17,2,2,6,0,-2.7999999999999994,WEST RIDGE,0,0,13.06057471264368
2023-02-17,2,59,6,0,-2.7999999999999994,MCKINLEY PARK,0,0,13.06057471264368
2023-02-17,2,75,6,0,-2.7999999999999994,MORGAN PARK,0,0,13.06057471264368
2023-02-17,2,17,6,0,-2.7999999999999994,DUNNING,0,0,13.06057471264368
2023-02-17,2,76,6,83,-2.7999999999999994,OHARE,0,0,13.06057471264368
2023-02-17,2,41,6,4,-2.7999999999999994,HYDE PARK,0,0,13.06057471264368
2023-02-17,2,47,6,0,-2.7999999999999994,BURNSIDE,0,0,13.06057471264368
2023-02-17,2,25,6,0,-2.7999999999999994,AUSTIN,0,0,13.06057471264368
2023-02-17,2,15,6,0,-2.7999999999999994,PORTAGE PARK,0,0,13.06057471264368
2023-02-17,2,19,6,0,-2.7999999999999994,BELMONT CRAGIN,0,0,13.06057471264368
2023-02-17,2,40,6,0,-2.7999999999999994,WASHINGTON PARK,0,0,13.06057471264368
2023-02-17,2,12,6,0,-2.7999999999999994,FOREST GLEN,0,0,13.06057471264368
2023-02-17,2,70,6,0,-2.7999999999999994,ASHBURN,0,0,13.06057471264368
2023-02-17,2,18,6,0,-2.7999999999999994,MONTCLARE,0,0,13.06057471264368
2023-02-17,2,10,6,0,-2.7999999999999994,NORWOOD PARK,0,0,13.06057471264368
2023-02-17,2,3,6,3,-2.7999999999999994,UPTOWN,0,0,13.06057471264368
2023-02-17,2,1,6,0,-2.7999999999999994,ROGERS PARK,0,0,13.06057471264368
2023-02-17,2,34,6,1,-2.7999999999999994,ARMOUR SQUARE,0,0,13.06057471264368
2023-02-17,2,27,6,0,-2.7999999999999994,EAST GARFIELD PARK,0,0,13.06057471264368
2023-02-17,2,56,6,6,-2.7999999999999994,GARFIELD RIDGE,0,0,13.06057471264368
2023-02-17,2,50,6,0,-2.7999999999999994,PULLMAN,0,0,13.06057471264368
2023-02-17,2,20,6,0,-2.7999999999999994,HERMOSA,0,0,13.06057471264368
2023-02-17,2,53,6,0,-2.7999999999999994,WEST PULLMAN,0,0,13.06057471264368
2023-02-17,2,61,6,0,-2.7999999999999994,NEW CITY,0,0,13.06057471264368
2023-02-17,2,6,6,8,-2.7999999999999994,LAKE VIEW,0,0,13.06057471264368
2023-02-17,2,23,6,0,-2.7999999999999994,HUMBOLDT PARK,0,0,13.06057471264368
2023-02-17,2,9,6,0,-2.7999999999999994,EDISON PARK,0,0,13.06057471264368
2023-02-17,2,48,6,0,-2.7999999999999994,CALUMET HEIGHTS,0,0,13.06057471264368
2023-02-17,2,73,6,0,-2.7999999999999994,WASHINGTON HEIGHTS,0,0,13.06057471264368
2023-02-17,2,30,6,0,-2.7999999999999994,SOUTH LAWNDALE,0,0,13.06057471264368
2023-02-17,2,42,6,0,-2.7999999999999994,WOODLAWN,0,0,13.06057471264368
2023-02-17,2,36,6,0,-2.7999999999999994,OAKLAND,0,0,13.06057471264368
2023-02-17,2,55,6,0,-2.7999999999999994,HEGEWISCH,0,0,13.06057471264368
2023-02-17,2,24,6,3,-2.7999999999999994,WEST TOWN,0,0,13.06057471264368
2023-02-17,2,63,6,0,-2.7999999999999994,GAGE PARK,0,0,13.06057471264368
2023-02-17,2,16,6,2,-2.7999999999999994,IRVING PARK,0,0,13.06057471264368
2023-02-17,2,69,6,1,-2.7999999999999994,GREATER GRAND CROSSING,0,0,13.06057471264368
2023-02-17,2,72,6,0,-2.7999999999999994,BEVERLY,0,0,13.06057471264368
2023-02-17,2,54,6,0,-2.7999999999999994,RIVERDALE,0,0,13.06057471264368
2023-02-17,2,22,6,0,-2.7999999999999994,LOGAN SQUARE,0,0,13.06057471264368
2023-02-17,2,39,6,0,-2.7999999999999994,KENWOOD,0,0,13.06057471264368
2023-02-17,2,51,6,0,-2.7999999999999994,SOUTH DEERING,0,0,13.06057471264368
2023-02-17,2,49,6,0,-2.7999999999999994,ROSELAND,0,0,13.06057471264368
2023-02-17,2,58,6,0,-2.7999999999999994,BRIGHTON PARK,0,0,13.06057471264368
2023-02-17,2,33,6,0,-2.7999999999999994,NEAR SOUTH SIDE,0,0,13.06057471264368
2023-02-17,2,52,6,0,-2.7999999999999994,EAST SIDE,0,0,13.06057471264368
2023-02-17,2,43,6,1,-2.7999999999999994,SOUTH SHORE,0,0,13.06057471264368
2023-02-17,2,4,6,0,-2.7999999999999994,LINCOLN SQUARE,0,0,13.06057471264368
2023-02-17,2,45,6,0,-2.7999999999999994,AVALON PARK,0,0,13.06057471264368
2023-02-17,2,60,6,0,-2.7999999999999994,BRIDGEPORT,0,0,13.06057471264368
2023-02-17,2,21,6,0,-2.7999999999999994,AVONDALE,0,0,13.06057471264368
2023-02-17,2,66,6,1,-2.7999999999999994,CHICAGO LAWN,0,0,13.06057471264368
2023-02-17,3,38,6,1,-3.1999999999999997,GRAND BOULEVARD,0,0,13.80379310344828
2023-02-17,3,64,6,0,-3.1999999999999997,CLEARING,0,0,13.80379310344828
2023-02-17,3,77,6,0,-3.1999999999999997,EDGEWATER,0,0,13.80379310344828
2023-02-17,3,57,6,0,-3.1999999999999997,ARCHER HEIGHTS,0,0,13.80379310344828
2023-02-17,3,37,6,0,-3.1999999999999997,FULLER PARK,0,0,13.80379310344828
2023-02-17,3,29,6,0,-3.1999999999999997,NORTH LAWNDALE,0,0,13.80379310344828
2023-02-17,3,32,6,4,-3.1999999999999997,LOOP,0,0,13.80379310344828
2023-02-17,3,35,6,0,-3.1999999999999997,DOUGLAS,0,0,13.80379310344828
2023-02-17,3,14,6,2,-3.1999999999999997,ALBANY PARK,0,0,13.80379310344828
2023-02-17,3,13,6,0,-3.1999999999999997,NORTH PARK,0,0,13.80379310344828
2023-02-17,3,46,6,0,-3.1999999999999997,SOUTH CHICAGO,0,0,13.80379310344828
2023-02-17,3,62,6,0,-3.1999999999999997,WEST ELSDON,0,0,13.80379310344828
2023-02-17,3,7,6,1,-3.1999999999999997,LINCOLN PARK,0,0,13.80379310344828
2023-02-17,3,11,6,0,-3.1999999999999997,JEFFERSON PARK,0,0,13.80379310344828
2023-02-17,3,26,6,0,-3.1999999999999997,WEST GARFIELD PARK,0,0,13.80379310344828
2023-02-17,3,28,6,1,-3.1999999999999997,NEAR WEST SIDE,0,0,13.80379310344828
2023-02-17,3,8,6,10,-3.1999999999999997,NEAR NORTH SIDE,0,0,13.80379310344828
2023-02-17,3,67,6,0,-3.1999999999999997,WEST ENGLEWOOD,0,0,13.80379310344828
2023-02-17,3,74,6,0,-3.1999999999999997,MOUNT GREENWOOD,0,0,13.80379310344828
2023-02-17,3,5,6,1,-3.1999999999999997,NORTH CENTER,0,0,13.80379310344828
2023-02-17,3,31,6,2,-3.1999999999999997,LOWER WEST SIDE,0,0,13.80379310344828
